SA2_CODE_2021,C16_CFNC_BF_4000more,C16_CFNC_BF_Ns,C16_CFNC_BF_Tot,C16_CFNC_BPT_Neg_ni_inc,C16_CFNC_BPT_1_149,C16_CFNC_BPT_150_399,C16_CFNC_BPT_400_649,C16_CFNC_BPT_650_799,C16_CFNC_BPT_800_1249,C16_CFNC_BPT_1250_1999,C16_CFNC_BPT_2000_2499,C16_CFNC_BPT_2500_2999,C16_CFNC_BPT_3000_3999,C16_CFNC_BPT_4000more,C16_CFNC_BPT_Ns,C16_CFNC_BPT_Tot,C16_CFNC_1F1P_Neg_ni_inc,C16_CFNC_1F1P_1_149,C16_CFNC_1F1P_150_399,C16_CFNC_1F1P_400_649,C16_CFNC_1F1P_650_799,C16_CFNC_1F1P_800_1249,C16_CFNC_1F1P_1250_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000more,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_Tot,C16_CFNC_1E1A_Neg_ni_inc,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_399,C16_CFNC_1E1A_400_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_1249,C16_CFNC_1E1A_1250_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000more,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_Tot,C16_CFNC_1F1NW_Neg_ni_inc,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_399,C16_CFNC_1F1NW_400_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_1249,C16_CFNC_1F1NW_1250_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000more,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_Neg_ni_inc,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_399,C16_CFNC_1P1NW_400_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_1249,C16_CFNC_1P1NW_1250_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000more,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_Neg_ni_inc,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_399,C16_CFNC_1A1NW_400_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_1249,C16_CFNC_1A1NW_1250_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000more,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_Tot,C16_CFNC_BA_Neg_ni_inc,C16_CFNC_BA_1_149,C16_CFNC_BA_150_399,C16_CFNC_BA_400_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_1249,C16_CFNC_BA_1250_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000more,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_Neg_ni_inc,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_399,C16_CFNC_BNW_400_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_1249,C16_CFNC_BNW_1250_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000more,C16_CFNC_BNW_Ns,C16_CFNC_BNW_Tot,C16_CFNC_LFns_Neg_ni_inc,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_399,C16_CFNC_LFns_400_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_1249,C16_CFNC_LFns_1250_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000more,C16_CFNC_LFns_Ns,C16_CFNC_LFns_Tot,C16_CFNC_Tot_Neg_ni_inc,C16_CFNC_Tot_1_149,C16_CFNC_Tot_150_399,C16_CFNC_Tot_400_649,C16_CFNC_Tot_650_799,C16_CFNC_Tot_800_1249,C16_CFNC_Tot_1250_1999,C16_CFNC_Tot_2000_2499,C16_CFNC_Tot_2500_2999,C16_CFNC_Tot_3000_3999,C16_CFNC_Tot_4000more,C16_CFNC_Tot_Ns,C16_CFNC_Tot_Tot,C16_CFC_BFT_Neg_ni_inc,C16_CFC_BFT_1_149,C16_CFC_BFT_150_399,C16_CFC_BFT_400_649,C16_CFC_BFT_650_799,C16_CFC_BFT_800_1249,C16_CFC_BFT_1250_1999,C16_CFC_BFT_2000_2499,C16_CFC_BFT_2500_2999,C16_CFC_BFT_3000_3999,C16_CFC_BFT_4000more,C16_CFC_BFT_Ns,C16_CFC_BFT_Tot,C16_CFC_BPT_Neg_ni_inc,C16_CFC_BPT_1_149,C16_CFC_BPT_150_399,C16_CFC_BPT_400_649,C16_CFC_BPT_650_799,C16_CFC_BPT_800_1249,C16_CFC_BPT_1250_1999,C16_CFC_BPT_2000_2499,C16_CFC_BPT_2500_2999,C16_CFC_BPT_3000_3999,C16_CFC_BPT_4000more,C16_CFC_BPT_Ns,C16_CFC_BPT_Tot,C16_CFC_1F1P_Neg_ni_inc,C16_CFC_1F1P_1_149,C16_CFC_1F1P_150_399,C16_CFC_1F1P_400_649,C16_CFC_1F1P_650_799,C16_CFC_1F1P_800_1249,C16_CFC_1F1P_1250_1999,C16_CFC_1F1P_2000_2499,C16_CFC_1F1P_2500_2999,C16_CFC_1F1P_3000_3999,C16_CFC_1F1P_4000more,C16_CFC_1F1P_Ns,C16_CFC_1F1P_Tot,C16_CF_1E1A_Neg_ni_inc,C16_CF_1E1A_1_149,C16_CF_1E1A_150_399,C16_CF_1E1A_400_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_1249,C16_CF_1E1A_1250_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000more,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot,C16_CF_1F1NW_Neg_ni_inc,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_399,C16_CF_1F1NW_400_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_1249,C16_CF_1F1NW_1250_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000more,C16_CF_1F1NW_Ns,C16_CF_1F1NW_Tot,C16_CF_1P1NW_Neg_ni_inc,C16_CF_1P1NW_1_149
801011001,20,0,50,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,5,3,9,9,0,26,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,6,3,0,3,0,11,0,0,0,0,0,4,11,5,8,3,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,0,13,38,14,14,4,4,0,97,0,0,0,0,0,0,0,0,0,0,0,20,18,5,0,0,3,4,26,54,34,31,33,48,22,260,0,0,0,0,0,0,4,5,7,25,65,7,114,0,0,0,0,0,0,0,0,0,3,3,0,18,0,0,0,0,0,0,9,3,12,17,25,6,67,0,0,0,0,0,0,0,0,3,3,9,0,16,0,0,0,0,0,4,5,14,4,9,10,3,49,0,0
801011002,42,3,317,0,0,0,0,7,15,5,11,0,0,0,0,41,0,0,0,0,0,21,63,26,14,9,10,0,141,0,0,0,0,0,0,4,0,4,0,3,0,12,0,0,0,3,3,14,33,16,3,0,0,0,82,0,0,8,10,8,15,13,0,0,5,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,20,0,3,12,4,9,20,9,4,0,3,0,79,0,0,0,0,0,0,0,0,0,0,0,49,50,20,3,10,27,23,78,182,132,112,88,61,52,792,0,0,0,0,0,0,6,7,14,24,6,0,52,0,0,0,0,5,0,7,0,4,3,4,0,15,0,0,0,0,0,11,18,5,10,9,9,0,67,0,0,0,0,0,0,4,0,0,9,3,0,19,0,0,0,0,3,9,43,17,3,13,0,3,87,0,0
801011003,48,7,257,0,0,0,0,6,14,13,3,8,0,6,0,39,0,0,0,0,0,3,39,17,20,9,14,5,110,0,0,0,0,0,0,4,4,0,3,5,0,15,0,0,0,0,3,12,30,17,4,5,6,0,88,0,0,0,3,8,7,13,8,6,8,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5,13,29,26,20,9,5,14,3,148,0,0,0,0,0,0,0,0,0,0,0,56,61,20,7,3,13,23,75,148,115,101,105,97,69,768,0,0,0,0,0,0,6,9,16,28,74,3,132,0,0,0,0,0,5,0,0,0,3,4,0,19,0,0,0,0,0,0,7,12,19,28,44,7,118,0,0,0,0,0,0,3,0,0,11,8,0,28,0,0,0,0,0,11,22,21,5,14,16,6,93,0,0
801011004,0,3,83,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,13,6,3,5,0,0,24,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,5,17,4,3,0,0,0,27,0,0,0,6,3,6,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,8,0,0,0,0,4,54,0,0,0,0,0,0,0,0,0,0,0,21,20,0,0,0,8,21,33,58,39,28,26,0,26,237,0,0,0,0,0,0,6,20,11,21,13,3,73,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,6,18,21,19,21,8,6,91,0,0,0,0,0,0,5,0,4,6,0,0,16,0,0,0,0,0,7,21,20,4,8,6,0,66,0,0
801011005,29,0,87,0,0,0,0,0,4,3,0,3,0,0,0,8,0,0,0,0,0,0,10,8,8,7,3,0,35,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,7,5,7,6,0,4,0,27,0,0,0,0,3,0,9,6,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,13,27,31,16,4,5,3,5,115,0,0,0,0,0,0,0,0,0,0,0,21,25,0,4,5,3,22,41,58,45,39,47,51,27,331,0,0,0,0,0,0,0,0,0,17,38,8,74,0,0,0,0,0,0,0,0,7,4,0,0,19,0,0,0,0,0,0,10,14,22,33,22,0,109,0,0,0,0,0,0,0,0,3,8,3,0,23,0,0,0,0,0,6,5,9,6,9,5,0,45,0,0
801011006,30,0,190,0,0,0,0,0,3,5,3,4,0,0,0,10,0,0,0,0,0,4,19,15,11,10,6,5,65,0,0,0,0,0,0,3,5,6,0,0,0,13,0,0,0,0,0,17,23,20,10,8,0,3,70,0,0,0,0,0,0,7,7,0,0,0,0,17,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,3,7,0,3,13,24,27,44,7,0,0,0,6,130,0,0,0,0,0,3,0,0,0,0,0,42,44,7,0,4,17,26,59,115,81,81,79,36,52,552,0,0,0,0,0,0,14,44,74,138,100,22,398,0,0,0,0,0,0,10,5,11,11,3,0,44,0,0,0,0,0,4,47,55,74,80,33,11,301,0,0,0,0,0,0,3,11,21,22,12,0,80,0,0,0,0,6,22,56,24,12,14,14,7,152,0,0
801011007,25,6,161,0,0,0,0,0,3,5,3,0,0,0,0,16,0,0,0,0,0,3,13,9,14,12,7,0,62,0,0,0,0,0,0,3,0,3,0,3,0,12,0,0,0,0,0,4,14,14,6,5,8,0,59,0,0,0,4,3,8,15,7,3,0,0,0,41,0,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,32,41,53,14,5,4,3,5,167,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,20,34,65,126,75,64,88,49,25,547,0,0,0,0,0,0,6,9,23,66,57,16,178,0,0,0,0,4,0,5,8,8,9,0,4,27,0,0,0,0,0,0,33,32,42,66,39,9,209,0,0,0,0,0,0,0,5,21,10,10,0,49,0,0,0,0,0,14,35,15,7,11,15,7,98,0,0
801011008,23,0,113,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,8,15,13,4,4,7,0,51,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,3,8,15,6,5,8,4,0,50,0,0,0,0,0,7,12,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,6,9,3,3,14,32,33,41,23,4,0,0,5,164,0,0,0,0,0,0,0,0,0,0,0,25,22,9,3,3,13,35,59,97,71,47,59,35,34,472,0,0,0,0,0,0,14,22,13,42,53,11,157,0,0,0,0,0,0,12,6,5,9,8,0,35,0,0,0,0,0,3,24,21,26,37,28,13,155,0,0,0,0,0,0,0,0,3,9,4,0,24,0,0,0,0,0,13,25,16,5,12,11,3,87,0,0
801011009,7,3,85,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,3,4,7,0,9,3,6,0,32,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,9,10,4,0,3,0,0,35,0,0,0,0,3,3,10,6,4,8,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,12,34,27,12,8,4,0,0,118,0,0,0,0,0,0,0,0,0,0,0,16,19,4,0,0,18,19,47,65,41,44,53,25,21,342,0,0,0,0,0,0,3,10,17,46,46,16,130,0,0,0,0,0,0,0,3,3,5,0,3,11,0,0,0,0,0,3,17,25,42,39,20,3,156,0,0,0,0,0,0,4,0,9,11,3,3,27,0,0,0,0,0,4,18,19,11,8,7,3,70,0,0
801011010,13,0,52,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,9,5,0,5,0,19,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,3,7,3,3,4,3,0,24,0,0,0,0,7,0,4,4,0,0,4,0,17,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,32,8,11,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,5,12,21,60,30,37,21,22,4,214,0,0,0,0,0,0,0,5,11,27,31,6,78,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,9,11,20,27,24,4,86,0,0,0,0,0,0,0,4,0,9,0,0,19,0,0,0,0,0,4,3,11,5,9,5,0,39,0,0
801011011,16,0,77,0,0,0,0,0,0,4,3,0,0,0,0,17,0,0,0,0,0,7,7,9,5,6,3,0,36,0,0,0,0,0,0,0,5,0,3,0,0,5,0,0,0,0,0,3,12,9,0,5,0,0,34,0,0,0,5,0,10,6,3,5,0,0,0,28,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,4,17,14,18,27,4,4,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,10,16,7,0,4,20,17,40,69,50,44,35,22,17,330,0,0,0,0,0,0,4,8,18,27,37,5,93,0,0,0,0,0,0,0,0,4,3,0,0,8,0,0,0,0,0,3,16,14,24,35,39,12,142,0,0,0,0,0,0,4,5,5,7,6,0,36,0,0,0,0,0,8,25,10,7,8,7,5,66,0,0
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,24,0,56,0,0,0,0,0,8,5,3,3,4,0,0,19,0,0,0,0,0,5,4,3,3,3,8,0,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,6,4,4,9,0,0,28,0,0,0,0,0,6,9,4,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,9,19,21,53,28,16,6,6,0,153,0,0,0,0,0,0,0,0,0,0,0,8,15,3,0,0,13,22,41,74,51,32,37,42,12,328,0,0,0,0,0,0,3,4,4,32,67,10,115,0,0,0,0,0,0,4,0,5,8,3,0,19,0,0,0,0,0,0,3,8,19,24,35,0,90,0,0,0,0,0,0,0,0,6,5,7,3,21,0,0,0,0,0,8,12,9,4,8,17,3,62,0,0
801011014,9,0,91,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,11,13,4,4,0,0,31,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,4,5,0,0,0,0,24,0,0,0,0,3,8,3,4,0,0,0,0,21,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,9,25,32,19,12,4,4,0,0,108,0,0,0,0,0,0,0,0,0,0,0,10,13,6,3,3,18,26,46,61,43,36,34,21,16,301,0,0,0,0,0,4,11,7,10,33,16,7,95,0,0,0,0,0,5,5,0,3,6,0,0,14,0,0,0,0,3,3,17,15,30,30,12,6,120,0,0,0,0,0,0,0,3,5,13,7,0,30,0,0,0,0,0,5,22,14,3,7,0,0,50,0,0
801011015,9,0,117,0,0,0,0,0,8,7,0,3,0,0,0,13,0,0,0,0,0,9,7,11,8,9,4,0,41,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,11,14,7,3,5,3,0,49,0,0,0,0,4,4,9,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,16,17,62,44,13,4,0,0,5,168,0,0,0,0,0,0,0,0,0,0,0,21,34,3,4,3,17,22,90,97,72,44,51,18,30,456,0,0,0,0,0,0,11,19,21,46,23,10,129,0,0,0,0,0,0,5,0,3,0,0,0,17,0,0,0,0,0,4,25,36,32,30,10,5,135,0,0,0,0,0,4,6,4,6,8,4,0,30,0,0,0,0,0,12,23,14,4,10,3,0,74,0,0
801011016,37,0,156,0,0,0,0,0,8,5,0,7,0,0,0,22,0,0,0,0,0,0,20,9,4,10,9,0,64,0,0,0,0,0,4,0,3,0,0,4,0,18,0,0,0,0,0,10,27,19,12,18,6,5,102,0,0,0,5,3,8,20,7,4,3,0,8,56,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,3,19,20,61,78,30,14,5,4,9,264,0,0,0,0,0,0,0,0,0,0,0,48,49,8,4,3,26,27,101,174,100,59,90,67,69,730,0,0,0,0,0,6,13,20,19,66,80,27,228,0,0,0,0,0,4,8,9,3,12,3,0,43,0,0,0,0,0,0,19,52,58,77,69,16,296,0,0,0,0,0,0,4,5,8,21,8,4,55,0,0,0,0,6,13,43,29,17,22,14,4,144,0,0
801011017,18,0,98,0,0,0,0,0,3,0,0,3,3,0,0,9,0,0,0,0,0,3,14,6,6,3,3,0,40,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,3,9,3,4,0,4,0,30,0,0,0,5,4,11,9,4,0,0,0,0,33,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,15,36,27,12,8,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,23,23,4,0,0,14,21,58,79,53,47,43,28,30,364,0,0,0,0,0,0,3,20,26,42,26,12,138,0,0,0,0,0,0,9,0,0,5,3,0,21,0,0,0,0,0,4,15,23,25,41,12,3,126,0,0,0,0,0,0,4,7,9,7,3,0,25,0,0,0,0,0,8,31,12,0,7,4,3,69,0,0
801011018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,6,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
801011019,35,7,264,0,0,0,0,0,3,14,0,4,0,0,0,22,0,0,0,0,0,4,27,15,6,11,7,0,68,0,0,0,0,0,0,7,6,3,0,0,0,16,0,0,0,0,0,9,21,10,3,3,6,0,52,0,0,0,3,3,6,13,0,0,0,0,0,22,0,0,0,0,0,4,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,7,12,24,31,38,4,0,4,0,0,135,0,0,0,0,0,0,4,0,0,0,0,27,33,5,0,5,18,27,59,138,94,87,107,49,35,624,0,0,0,0,0,0,11,47,55,59,51,17,257,0,0,0,0,0,3,11,7,7,6,3,0,38,0,0,0,0,3,7,53,73,65,61,13,12,295,0,0,0,0,0,0,6,13,15,35,10,3,88,0,0,0,0,4,20,55,33,14,11,6,7,155,0,0
801011020,14,0,62,0,0,0,0,3,0,0,7,0,0,0,0,16,0,0,0,0,0,5,8,0,0,3,4,0,17,0,0,0,0,0,0,3,0,0,0,4,0,7,0,0,0,0,0,5,10,0,0,3,0,0,21,0,0,0,0,3,6,3,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,12,16,19,3,3,3,8,4,71,0,0,0,0,0,0,0,0,0,0,0,9,13,3,6,0,9,23,28,48,28,20,27,30,18,231,0,0,0,0,0,0,0,8,7,21,30,0,70,0,0,0,0,0,0,3,0,0,6,0,0,10,0,0,0,0,0,3,6,17,17,25,20,6,87,0,0,0,0,0,0,0,0,7,6,0,0,15,0,0,0,0,0,10,13,14,3,8,0,0,52,0,0
801011021,21,0,62,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,9,4,0,8,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,11,0,3,4,6,0,32,0,0,0,0,0,10,6,7,4,0,0,0,30,0,0,0,0,0,5,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,10,12,28,20,8,9,6,4,6,112,0,0,0,0,0,0,0,0,0,0,0,19,25,5,3,4,13,10,43,47,36,27,44,37,30,304,0,0,0,0,0,0,5,7,15,27,54,11,114,0,0,0,0,0,0,3,3,0,0,4,0,13,0,0,0,0,0,0,10,21,19,23,27,6,109,0,0,0,0,0,0,0,0,4,0,5,3,14,0,0,0,0,0,8,9,6,3,8,10,4,58,0,0
801011022,15,0,84,0,0,0,0,0,0,4,4,4,0,0,0,10,0,0,0,0,0,3,8,4,5,6,10,0,35,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,4,7,5,3,3,9,0,33,0,0,0,0,0,8,9,0,0,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,12,28,33,9,7,10,0,3,128,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,8,7,14,50,74,46,33,51,33,27,343,0,0,0,0,0,5,0,8,17,34,43,7,113,0,0,0,0,0,4,4,0,0,9,0,0,10,0,0,0,0,0,3,17,17,28,27,18,6,108,0,0,0,0,0,0,0,6,5,3,3,0,13,0,0,0,0,0,4,17,15,6,4,5,3,57,0,0
801011023,8,0,81,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,6,12,4,3,0,0,0,26,0,0,0,0,0,0,4,0,0,7,0,0,11,0,0,0,0,0,9,0,5,3,0,4,0,18,0,0,0,0,0,10,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,17,45,32,8,8,0,4,3,124,0,0,0,0,0,0,0,0,0,0,0,16,22,4,0,3,11,13,59,60,38,35,28,14,23,293,0,0,0,0,0,0,6,18,14,23,15,0,74,0,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,8,12,24,13,5,4,62,0,0,0,0,0,0,0,4,17,0,10,0,33,0,0,0,5,0,0,10,11,0,3,6,0,37,0,0
801011024,13,0,69,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,3,11,4,4,4,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,12,0,0,4,0,0,30,0,0,0,0,4,7,5,5,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,13,31,20,4,5,3,0,4,89,0,0,0,0,0,0,0,0,0,0,0,9,12,8,0,0,9,20,54,51,28,31,30,12,14,263,0,0,0,0,0,0,3,7,10,25,22,0,65,0,0,0,0,0,0,4,0,7,0,0,0,20,0,0,0,0,0,4,15,15,27,27,7,3,98,0,0,0,0,0,0,0,0,6,4,4,0,17,0,0,0,0,0,7,22,11,6,7,3,0,59,0,0
801011025,7,0,63,0,0,0,0,0,4,0,3,0,0,0,0,8,0,0,0,0,0,0,16,3,10,6,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,8,3,7,0,0,0,27,0,0,0,0,0,0,5,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,23,36,3,3,4,4,3,97,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,3,27,35,71,35,31,31,22,16,268,0,0,0,0,0,0,3,6,13,30,25,7,75,0,0,0,0,0,0,5,0,0,4,4,0,7,0,0,0,0,0,4,11,19,20,24,16,0,96,0,0,0,0,0,0,0,6,5,9,3,0,19,0,0,0,0,0,4,25,9,0,8,6,9,60,0,0
801011026,15,0,46,0,0,0,0,0,3,0,3,0,0,6,0,12,0,0,0,0,0,0,4,5,3,8,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,8,5,7,0,26,0,0,0,0,0,5,3,0,3,0,9,4,24,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,12,23,35,18,3,14,5,3,124,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,3,6,11,25,53,32,30,35,43,24,271,0,0,0,0,0,0,3,6,9,13,74,13,114,0,0,0,0,0,0,0,0,3,5,4,4,17,0,0,0,0,0,0,3,7,15,38,57,5,116,0,0,0,0,0,0,0,0,0,3,3,0,13,0,0,0,0,0,4,7,6,9,14,15,4,53,0,0
