SA2_CODE_2021,C11_Neg_Ni_inc_CF_1C,C11_Neg_Ni_inc_CF_2C,C11_Neg_Ni_inc_CF_3C,C11_Neg_Ni_inc_Cou_fa_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_CF_1C,C11_1_149_CF_2C,C11_1_149_CF_3C,C11_1_149_CF_4mC,C11_1_149_Tot,C11_150_299_CF_1C,C11_150_299_CF_2C,C11_150_299_CF_3C,C11_150_299_CF_4mC,C11_150_299_Tot,C11_300_399_CF_1C,C11_300_399_CF_2C,C11_300_399_CF_3C,C11_300_399_CF_4mC,C11_300_399_Tot,C11_400_499_CF_1C,C11_400_499_CF_2C,C11_400_499_CF_3C,C11_400_499_CF_4mC,C11_400_499_Tot,C11_500_649_CF_1C,C11_500_649_CF_2C,C11_500_649_CF_3C,C11_500_649_CF_4mC,C11_500_649_Tot,C11_650_799_CF_1C,C11_650_799_CF_2C,C11_650_799_CF_3C,C11_650_799_CF_4mC,C11_650_799_Tot,C11_800_999_CF_1C,C11_800_999_CF_2C,C11_800_999_CF_3C,C11_800_999_CF_4mC,C11_800_999_Tot,C11_1000_1499_CF_1C,C11_1000_1499_CF_2C,C11_1000_1499_CF_3C,C11_1000_1499_CF_4mC,C11_1000_1499_Tot,C11_1500_1999_CF_1C,C11_1500_1999_CF_2C,C11_1500_1999_CF_3C,C11_1500_1999_CF_4mC,C11_1500_1999_Tot,C11_2000_2499_CF_1C,C11_2000_2499_CF_2C,C11_2000_2499_CF_3C,C11_2000_2499_CF_4mC,C11_2000_2499_Tot,C11_2500_2999_CF_1C,C11_2500_2999_CF_2C,C11_2500_2999_CF_3C,C11_2500_2999_CF_4mC,C11_2500_2999_Tot,C11_3000_3999_CF_1C,C11_3000_3999_CF_2C,C11_3000_3999_CF_3C,C11_3000_3999_CF_4mC,C11_3000_3999_Tot,C11_4000more_CF_1C,C11_4000more_CF_2C,C11_4000more_CF_3C,C11_4000more_Cou_fa_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_CF_1C,C11_Par_inc_st_CF_2C,C11_Par_inc_st_CF_3C,C11_Par_inc_st_CF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_Tot,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_CF_1C,C16_Neg_Ni_inc_CF_2C,C16_Neg_Ni_inc_CF_3C,C16_Neg_Ni_inc_Cou_fa_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_CF_1C,C16_1_149_CF_2C,C16_1_149_CF_3C,C16_1_149_CF_4mC,C16_1_149_Tot,C16_150_299_CF_1C,C16_150_299_CF_2C,C16_150_299_CF_3C,C16_150_299_CF_4mC,C16_150_299_Tot,C16_300_399_CF_1C,C16_300_399_CF_2C,C16_300_399_CF_3C,C16_300_399_CF_4mC,C16_300_399_Tot,C16_400_499_CF_1C,C16_400_499_CF_2C,C16_400_499_CF_3C,C16_400_499_CF_4mC,C16_400_499_Tot,C16_500_649_CF_1C,C16_500_649_CF_2C,C16_500_649_CF_3C,C16_500_649_CF_4mC,C16_500_649_Tot,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_Tot,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_Tot,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_Tot,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_Tot,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_Tot,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_Tot,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_Tot,C16_4000more_CF_1C,C16_4000more_CF_2C,C16_4000more_CF_3C,C16_4000more_Cou_fa_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_Tot,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_CF_1C,C21_Neg_Ni_inc_CF_2C,C21_Neg_Ni_inc_CF_3C,C21_Neg_Ni_inc_Cou_fa_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_CF_1C,C21_1_149_CF_2C,C21_1_149_CF_3C,C21_1_149_CF_4mC,C21_1_149_Tot,C21_150_299_CF_1C,C21_150_299_CF_2C,C21_150_299_CF_3C,C21_150_299_CF_4mC,C21_150_299_Tot,C21_300_399_CF_1C,C21_300_399_CF_2C,C21_300_399_CF_3C,C21_300_399_CF_4mC,C21_300_399_Tot,C21_400_499_CF_1C,C21_400_499_CF_2C,C21_400_499_CF_3C,C21_400_499_CF_4mC,C21_400_499_Tot,C21_500_649_CF_1C,C21_500_649_CF_2C,C21_500_649_CF_3C,C21_500_649_CF_4mC,C21_500_649_Tot
801011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,0,0,15,8,6,3,0,17,7,11,3,0,23,21,20,6,3,42,17,43,11,0,77,25,37,12,4,81,18,14,11,0,44,0,0,0,0,0,104,141,51,9,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,11,7,6,4,0,15,8,8,4,0,22,6,13,8,0,25,22,39,5,0,65,33,66,15,10,124,14,26,7,3,50,0,0,0,0,0,98,167,46,10,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,3,3,3,0,0,8,10,5,0,0,15,20,8,0,0,29,16,11,0,0,23,16,7,0,0,27,21,9,0,0,28,16,3,0,0,23,0,0,0,0,5,7,6,0,0,16,0,0,0,0,0,121,64,6,6,194,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,4,0,0,12,5,0,0,0,9,8,0,0,0,11,35,19,3,0,62,41,23,0,0,64,31,14,0,0,42,21,10,0,0,32,37,19,0,0,58,16,6,0,0,23,25,4,0,0,31,3,0,0,0,3,243,102,6,4,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7
801011003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,0,0,8,13,9,8,0,26,16,9,4,0,39,24,15,0,0,42,29,22,7,0,57,60,53,9,0,123,34,38,8,0,87,19,15,5,0,42,7,3,0,0,7,212,174,48,4,436,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,5,5,0,0,8,5,6,0,0,10,18,8,0,0,24,25,9,7,0,37,25,23,3,0,50,27,12,0,0,44,47,39,12,0,95,59,73,18,8,152,16,18,4,0,45,0,5,0,0,0,232,192,42,10,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,6,4,0,6,0,3,0,0,11,6,9,6,0,17,23,27,11,0,68,22,18,10,3,51,27,22,10,5,59,13,19,10,5,39,21,19,9,0,42,7,12,3,0,17,14,4,3,4,26,0,0,0,0,4,130,138,54,15,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,12,10,17,4,0,37,17,21,0,3,48,26,25,17,3,72,12,17,7,0,40,28,22,6,5,59,10,12,4,0,21,13,12,3,0,27,0,0,0,0,0,114,146,42,19,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
801011005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,8,0,0,0,0,5,5,0,0,0,8,10,4,0,0,20,18,16,3,0,35,18,8,10,0,39,11,24,0,0,37,23,46,8,0,78,16,29,10,3,53,13,13,4,0,34,0,0,0,0,0,117,151,35,10,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,15,3,0,0,16,10,8,3,3,25,17,17,7,0,36,15,21,6,0,45,35,35,9,0,77,25,42,10,0,80,6,19,8,0,25,0,0,0,0,0,119,146,39,7,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011006,0,3,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,3,0,0,0,0,0,3,0,0,4,6,0,4,0,0,10,6,7,6,3,19,42,40,18,7,99,34,66,29,11,138,75,96,25,5,204,58,73,29,6,171,67,116,30,3,219,35,39,8,0,79,27,42,20,9,102,0,0,4,0,10,355,496,172,59,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,0,0,0,3,0,0,0,4,0,3,9,5,0,0,16,22,29,18,8,70,35,49,25,10,115,37,75,25,7,147,74,84,33,5,199,90,135,38,13,269,48,84,21,11,169,27,36,10,3,86,0,0,0,0,4,350,514,172,62,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
801011007,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,9,4,4,0,0,8,4,4,5,0,15,27,32,12,6,70,27,46,6,4,89,43,42,11,3,105,30,53,13,4,104,56,85,35,7,180,21,30,4,7,69,24,32,17,11,87,4,0,0,0,4,251,343,111,45,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,3,0,5,0,4,28,12,7,0,52,26,37,6,4,70,29,34,11,3,80,35,43,16,0,99,56,90,16,3,165,31,65,26,5,122,22,31,18,7,68,0,3,0,0,7,228,318,103,30,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
801011008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,10,4,5,4,0,15,9,13,0,0,28,18,28,12,6,61,26,26,7,8,69,27,33,15,4,72,30,36,14,10,89,42,62,22,3,132,27,33,11,0,69,38,24,10,3,78,0,4,0,0,5,231,269,98,36,632,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,0,4,3,0,6,0,3,0,0,6,0,5,0,0,10,15,25,6,3,46,27,28,14,0,74,29,27,16,0,77,24,28,8,3,71,44,48,14,6,118,41,52,12,4,107,24,22,8,0,57,0,0,0,0,5,223,250,90,13,582,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
801011009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,9,0,7,0,0,3,10,25,3,0,34,19,18,13,3,56,32,24,15,12,82,24,25,9,0,62,39,60,12,8,118,21,24,14,3,66,14,15,14,0,49,0,5,0,0,3,182,196,78,25,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,5,0,23,18,23,5,0,53,28,25,12,0,67,32,35,14,7,82,39,53,16,9,113,30,46,13,3,85,17,25,5,3,50,0,5,0,0,3,167,214,68,25,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
801011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,3,0,20,4,17,3,4,29,17,19,10,4,50,22,22,13,6,61,22,34,13,5,71,11,13,8,3,36,4,8,15,0,27,0,0,0,0,0,98,129,61,16,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,6,5,0,15,11,8,4,0,18,9,11,5,0,33,12,16,3,0,31,23,38,10,0,75,12,33,7,5,61,5,12,10,3,28,0,0,0,0,0,88,118,45,15,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,6,4,5,0,15,10,9,9,0,27,23,18,4,0,44,22,26,14,0,60,24,20,11,4,52,43,67,9,5,121,24,25,8,3,60,20,26,6,0,59,0,0,0,0,0,177,201,57,16,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,9,12,15,3,3,35,27,17,5,4,45,18,19,7,0,47,37,23,9,6,65,25,39,17,0,84,25,59,18,0,100,19,22,9,7,47,0,0,0,0,0,164,193,58,15,437,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,7,3,0,0,0,6,7,0,0,0,7,14,14,3,0,24,9,16,0,0,29,14,9,0,0,24,12,17,8,4,39,19,40,14,4,79,14,34,19,6,75,13,19,5,4,37,0,0,0,0,0,108,153,49,17,325,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,9,8,7,0,0,25,6,13,0,0,23,7,14,4,3,25,16,16,6,0,42,20,42,12,4,79,31,61,21,8,124,8,20,3,0,31,0,0,0,0,6,107,183,54,20,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011014,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,3,9,0,0,12,4,4,4,0,5,22,17,8,0,49,18,19,11,3,56,20,21,5,9,57,27,28,6,6,68,18,31,13,3,59,7,9,4,0,18,14,18,8,5,39,0,4,4,0,4,141,162,57,21,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,0,5,12,3,0,0,0,10,3,20,0,3,31,19,25,6,0,51,14,21,7,3,47,19,27,10,3,53,24,41,15,0,89,12,16,3,3,39,12,12,7,5,31,0,0,0,0,0,128,167,60,18,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
801011015,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,6,0,3,0,6,4,4,0,0,10,23,27,10,4,66,37,31,15,3,82,36,43,19,5,101,34,34,12,6,79,29,38,8,0,79,10,9,0,0,24,22,12,0,3,39,0,0,0,0,0,205,200,70,23,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,7,4,3,0,14,24,16,3,5,50,33,26,15,4,72,30,32,6,5,75,29,32,14,0,70,34,52,15,3,101,20,15,7,0,46,14,22,7,0,46,0,3,0,0,3,198,202,67,22,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
801011016,3,0,0,0,4,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,8,5,9,4,0,12,10,13,5,0,29,32,21,12,3,74,47,35,21,7,111,57,51,30,3,138,53,54,20,12,139,79,114,27,4,224,49,57,12,0,118,36,46,26,5,109,3,0,0,3,6,378,405,156,40,975,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,3,0,0,8,4,6,3,0,17,31,17,6,4,53,38,27,9,0,78,52,51,14,3,126,41,44,24,8,111,76,114,33,0,227,64,86,27,4,187,43,44,10,7,101,3,0,0,0,7,366,402,133,39,936,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,5
801011017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,5,0,8,7,5,0,0,15,16,23,5,0,49,25,24,8,6,60,33,31,12,5,80,30,21,6,0,68,30,38,16,6,91,9,18,3,0,35,24,13,13,4,52,0,0,0,0,4,180,188,69,21,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,3,7,0,3,0,0,3,0,0,0,0,0,17,10,10,0,41,22,16,6,4,51,24,37,3,4,71,19,32,10,0,57,38,48,15,5,105,11,24,9,0,52,17,28,11,0,58,0,0,0,0,3,162,204,68,32,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
801011018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,6,0,0,3,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,6,16,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011019,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,3,13,5,0,21,39,27,10,7,81,43,59,25,5,131,62,39,16,8,122,50,36,16,4,106,52,41,15,4,106,15,22,12,0,47,16,34,12,4,66,0,3,0,0,3,288,281,107,32,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7,7,6,0,0,18,9,6,4,3,26,35,30,12,0,82,46,48,21,4,117,79,80,22,8,192,71,77,16,0,168,72,78,23,8,185,32,55,10,3,98,22,31,14,4,75,0,0,0,0,6,383,418,123,36,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
801011020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,4,0,0,0,0,6,4,4,0,0,12,19,9,3,0,28,11,14,0,0,31,16,6,4,3,28,17,16,3,5,36,23,24,10,0,52,20,14,6,0,40,14,13,7,0,34,0,0,0,0,0,126,109,30,12,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,3,0,3,0,0,3,14,12,0,0,25,14,11,0,0,24,15,19,4,4,39,15,17,3,4,45,27,32,8,3,70,23,29,6,0,55,12,8,0,0,20,0,0,0,0,0,126,123,28,16,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
801011021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,4,5,0,0,10,3,16,12,0,30,19,17,3,0,41,21,17,9,0,43,15,30,4,4,57,29,40,16,3,89,24,28,5,0,60,17,22,5,10,56,0,0,0,0,5,135,180,62,19,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,4,0,0,0,4,9,6,0,0,14,9,12,5,0,23,14,16,4,4,40,15,24,8,0,52,21,37,16,0,74,24,48,15,3,97,15,22,9,3,43,0,0,0,0,3,121,161,59,20,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011022,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,5,4,5,0,0,7,12,14,4,4,32,21,16,8,7,40,14,23,11,7,47,23,27,9,0,57,38,50,13,3,100,26,29,6,0,64,21,17,6,0,48,0,4,0,0,4,158,173,62,16,409,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,10,4,4,0,0,3,9,9,3,0,27,17,10,0,0,36,18,23,6,6,56,13,29,13,0,59,30,31,10,10,82,25,33,15,4,80,10,14,7,0,33,0,0,0,0,0,127,159,58,23,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,5,0,6,0,16,17,9,4,6,29,16,19,10,0,49,20,23,8,0,43,8,25,5,4,44,15,22,3,0,35,4,6,0,0,20,10,9,7,4,26,4,0,0,0,6,117,112,37,15,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,9,18,5,5,3,35,19,7,3,0,27,23,18,6,0,43,26,16,10,3,56,14,28,10,0,47,9,19,5,0,33,0,12,3,0,21,0,0,0,0,0,112,117,40,6,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,3,0,0,8,3,3,0,0,6,18,12,5,4,35,16,18,10,3,43,24,15,5,0,41,18,19,4,3,48,24,21,6,5,49,6,15,3,0,26,14,19,5,7,41,0,0,0,0,4,130,117,45,19,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,8,4,0,0,0,8,15,11,3,0,33,19,17,5,0,38,16,17,6,0,39,28,19,6,5,58,27,35,8,0,74,8,21,6,0,39,15,15,0,0,30,0,0,0,0,0,128,144,40,16,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3
801011025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,9,8,11,4,6,30,15,13,9,3,37,15,18,7,0,48,17,17,13,3,50,23,35,5,5,73,17,25,7,6,47,4,19,10,0,37,0,0,0,0,0,115,151,57,24,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,5,10,0,4,24,12,15,0,0,28,19,22,9,4,43,12,20,4,0,38,21,36,16,3,82,15,32,9,4,54,14,13,3,3,33,0,0,0,0,0,93,153,48,19,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
801011026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,7,3,3,0,17,5,12,4,3,23,13,10,6,0,27,12,29,14,4,57,32,56,24,4,112,26,35,21,6,90,9,22,7,4,46,0,0,0,0,0,105,166,80,25,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,4,0,0,9,5,3,0,0,11,7,7,0,0,17,6,14,0,0,18,14,12,12,0,36,24,36,15,4,78,35,74,38,6,149,10,24,8,7,45,0,0,0,0,5,112,164,82,18,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
